Date,Canada,,,Chile,,,Mexico,,,Taiwan China,,,Hong Kong China,,,Japan,,,South Korea,,,Macao China,,,Maldives,,,Cambodia,,,Indonesia,,,Singapore,,,New Zealand,,,USA,,,Thailand,,,Turkey,,,Australia,,,Hawaii,,,Austria,,,Czech,,,,,,,,,,,,,,,,,,,,,,,,
1989M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,,,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9330,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4420,,,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,,,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,,,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,,,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,,,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,,,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230,,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,,,1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130,,,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,,,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590,,,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230,,,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,,,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,,,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,,,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,,,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23333,,,,,,2660,,,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29822,,,,,,2850,,,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33547,,,,,,2960,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30017,,,,,,3220,,,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31602,,,,,,2850,,,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26744,,,,,,2920,,,2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35877,,,,,,3520,,,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33971,,,,,,3450,,,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27167,,,,,,3250,,,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31500,,,,,,4250,,,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37078,,,,,,5360,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39395,,,,,,5310,,,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34381,,,620,,,3610,,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42057,,,1024,,,3930,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31874,,,1000,,,4260,,,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34640,,,980,,,4180,,,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35855,,,944,,,4420,,,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28965,,,1154,,,4190,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46282,,,1221,,,4460,,,2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49820,,,1080,,,4000,,,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35203,,,1080,,,4400,,,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40901,,,1353,,,4940,,,2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43857,,,1026,,,6450,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45627,,,736,,,5140,,,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M01,,,,,,,,,,,,,,,,23402,,,,,,,,,,,,,,,,,,,,,,,,,,,44461,,,707,,,4850,,,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M02,,,,,,,,,,,,,,,,17981,,,,,,,,,,,,,,,,,,,,,,,,,,,52127,,,640,,,4910,,,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M03,,,,,,,,,,,,,,,,21737,,,,,,,,,,,,,,,,,,,,,,,,,,,37274,,,1061,,,5380,,,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M04,,,,,,,,,,,,,,,,21289,,,,,,,,,,,,,,,,,,,,,,,,,,,48864,,,1296,,,5340,,,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M05,,,,,,,,,,,,,,,,22495,,,,,,,,,,,,,,,,,,,,,,,,,,,51787,,,1404,,,5910,,,2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M06,,,,,,,,,,,,,,,,19179,,,,,,,,,,,,,,,,,,,,,,,,,,,23826,,,969,,,4640,,,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M07,,,,,,,,,,,,,,,,20884,,,,,,,,,,,,,,,,,,,,,,,,,,,27779,,,861,,,4590,,,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M08,,,,,,,,,,,,,,,,23896,,,,,,,,,,,,,,,,,,,,,,,,,,,39609,,,1136,,,5160,,,3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M09,,,,,,,,,,,,,,,,24163,,,,,,,,,,,,,,,,,,,,,,,,,,,26003,,,1383,,,4880,,,2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M10,,,,,,,,,,,,,,,,25633,,,,,,,,,,,,,,,,,,,,,,,,,,,25833,,,1282,,,6230,,,2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M11,,,,,,,,,,,,,,,,23484,,,,,,,,,,,,,,,,,,,,,,,,,,,34026,,,1134,,,7150,,,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M12,,,,,,,,,,,,,,,,16484,,,,,,,,,,,,,,,,,,,,,,,,,,,40547,,,873,,,6810,,,3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M01,,,,,,,,,,,,,,,,22454,,,14402,,,,,,263,,,,,,,,,,,,,,,,,,60784,,,675,,,6710,,,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M02,,,,,,,,,,,,,,,,20156,,,14633,,,,,,250,,,,,,,,,,,,,,,,,,43980,,,552,,,6440,,,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M03,,,,,,,,,,,,,,,,23411,,,16298,,,,,,162,,,,,,,,,,,,,,,,,,52243,,,850,,,6510,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M04,,,,,,,,,,,,,,,,22745,,,14903,,,,,,155,,,,,,,,,,,,,,,,,,40248,,,1168,,,5550,,,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M05,,,,,,,,,,,,,,,,22480,,,17298,,,,,,197,,,,,,,,,,,,,,,,,,42941,,,1110,,,6460,,,2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M06,,,,,,,,,,,,,,,,18786,,,16630,,,,,,337,,,,,,,,,,,,,,,,,,38150,,,957,,,5480,,,3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M07,,,,,,,,,,,,,,,,21140,,,17079,,,,,,269,,,,,,,,,,,,,,,,,,59163,,,1349,,,7950,,,3436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M08,,,,,,,,,,,,,,,,26418,,,19246,,,,,,364,,,,,,,,,,,,,,,,,,56681,,,1257,,,6340,,,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M09,,,,,,,,,,,,,,,,23779,,,18939,,,,,,235,,,,,,,,,,,,,,,,,,38805,,,1155,,,5250,,,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M10,,,,,,,,,,,,,,,,26647,,,19819,,,,,,392,,,,,,,,,,,,,,,,,,44569,,,1014,,,6460,,,3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M11,,,,,,,,,,,,,,,,22894,,,20311,,,,,,252,,,,,,,,,,,,,,,,,,62965,,,918,,,6420,,,3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M12,,,,,,,,,,,,,,,,16270,,,21104,,,,,,191,,,,,,,,,,,,,,,,,,63943,,,582,,,6990,,,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M01,,,,,,,,,,,,,257085,,,27581,,,19458,,,105891,,,177,,,,,,,,,,,,,,,,,,72009,,,681,,,6700,,,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M02,,,,,,,,,,,,,307609,,,19492,,,23978,,,133006,,,584,,,,,,,,,,,,,,,,,,111444,,,709,,,9660,,,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M03,,,,,,,,,,,,,236152,,,26271,,,21825,,,109349,,,82,,,,,,,,,,,,,,,,,,54725,,,574,,,6400,,,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M04,,,,,,,,,,,,,249008,,,24505,,,23366,,,125105,,,196,,,,,,,,,,,,,,,,,,66936,,,741,,,6160,,,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M05,,,,,,,,,,,,,261447,,,24180,,,28028,,,131182,,,259,,,,,,,,,,,,,,,,,,65041,,,899,,,7110,,,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M06,,,,,,,,,,,,,233513,,,20491,,,26380,,,113857,,,257,,,,,,,,,,,,,,,,,,54375,,,754,,,6130,,,1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M07,,,,,,,,,,,,,291015,,,24047,,,27719,,,146846,,,556,,,,,,,,,,,,,,,,,,77725,,,955,,,8700,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M08,,,,,,,,,,,,,296856,,,29519,,,30786,,,178958,,,506,,,,,,,,,,,,,,,,,,66549,,,1138,,,7180,,,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M09,,,,,,,,,,,,,229189,,,25875,,,29294,,,127097,,,387,,,,,,,,,,,,,,,,,,46133,,,1247,,,6930,,,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M10,,,,,,,,,,,,,260744,,,28822,,,30700,,,153246,,,378,,,,,,,,,,,,,,,,,,57458,,,1282,,,9500,,,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M11,,,,,,,,,,,,,287683,,,24465,,,26915,,,181004,,,290,,,,,,,,,,,,,,,,,,74142,,,1090,,,8990,,,3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999M12,,,,,,,,,,,,,296151,,,19689,,,28190,,,139652,,,301,,,,,,,,,,,,,,,,,,67056,,,962,,,9130,,,3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M01,,,,,,,,,,,,,308782,,,30983,,,32309,,,181689,,,145,,,,,,,,,,,,,,,17357,,,75040,,,996,,,8860,,,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M02,,,,,,,,,,,,,293947,,,24741,,,34802,,,192277,,,856,,,,,,,,,,,,,,,14574,,,84634,,,1222,,,13970,,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M03,,,,,,,,,,,,,288798,,,28311,,,32249,,,204483,,,243,,,,,,,,,,,,,,,15127,,,66692,,,1555,,,7330,,,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M04,,,,,,,,,,,,,305229,,,31404,,,36001,,,175712,,,339,,,,,,,,,,,,,,,18332,,,82741,,,2011,,,7880,,,2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M05,,,,,,,,,,,,,334287,,,29541,,,42578,,,220512,,,341,,,,,,,,,,,,,,,22690,,,65429,,,2108,,,8960,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M06,,,,,,,,,,,,,279273,,,24541,,,34333,,,152716,,,371,,,,,,,,,,,,,,,21623,,,49272,,,2021,,,7590,,,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M07,,,,,,,,,,,,,332684,,,29053,,,40065,,,188113,,,568,,,,,,,,,,,,,,,24742,,,62944,,,2350,,,12470,,,2728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M08,,,,,,,,,,,,,354895,,,32890,,,45180,,,196216,,,588,,,,,,,,,,,,,,,27209,,,57478,,,1679,,,9920,,,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M09,,,,,,,,,,,,,311743,,,33584,,,38679,,,165951,,,609,,,,,,,,,,,,,,,24458,,,54809,,,1958,,,7830,,,4565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M10,,,,,,,,,,,,,317061,,,33474,,,38344,,,196247,,,645,,,,,,,,,,,,,,,21716,,,45115,,,2145,,,9950,,,4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M11,,,,,,,,,,,,,304466,,,28972,,,32280,,,195553,,,225,,,,,,,,,,,,,,,23121,,,50693,,,2019,,,10930,,,3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000M12,,,,,,,,,,,,,354680,,,24294,,,35974,,,205244,,,450,,,,,,,,,,,,,,,18492,,,58862,,,1454,,,14570,,,3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
